creditscore,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited,creditscorerange,agerange,balancerange,estimatedsalaryrange,tenurerange,geography_france,geography_germany,geography_spain
-0.32512009833164046,1,0.29416587173439096,2,-1.2277389666669953,1,1,1,0.0015717908857097785,1,1,1,2,2,1,True,False,False
-0.4389505157306447,1,0.19883764443428553,1,0.11554443614821094,1,0,1,0.19851652110281393,0,1,1,1,2,0,False,False,True
-1.5358618106665038,1,0.29416587173439096,8,1.3313253349414467,3,1,0,0.2229547551830784,1,0,1,2,2,3,True,False,False
0.5027374827520269,1,0.008181189834074678,1,-1.2277389666669953,2,0,0,-0.13077653869928998,0,2,1,2,2,0,True,False,False
-0.05606638447944857,0,0.4848223263346018,8,0.595553636774949,2,1,0,0.8532711413904973,1,1,1,1,2,3,False,False,True
-2.8397375008732797,1,-0.9451010831669796,4,0.6162453134470216,4,1,0,0.3182330605684278,1,0,0,1,2,2,False,True,False
-1.266808096814312,0,-0.7544446285667687,6,0.40739843912819035,2,0,0,-0.37085902131225973,0,0,0,1,2,2,True,False,False
-1.587602909484233,0,-1.4217422196675067,3,-1.2277389666669953,2,1,0,-0.4375607496213413,0,0,0,2,2,1,False,False,True
-1.8049155245186956,1,-0.46845994666645246,10,-1.2277389666669953,2,1,0,-1.3195433192270232,0,0,0,2,0,3,True,False,False
-1.0494954817798494,1,-1.3264139923674014,5,-1.2277389666669953,2,0,0,1.5764137226845842,0,0,0,2,2,2,True,False,False
-0.15954858211490697,1,-0.37313171936634704,7,-1.2277389666669953,2,1,1,-0.621215840798433,0,1,1,2,1,3,False,False,True
-0.35616475762227795,0,0.5801505536347072,3,1.066358041748836,2,0,1,-0.6497957607817594,0,1,1,2,1,1,False,True,False
0.02671937362891816,0,1.8194175085360778,1,0.8976374344187318,1,1,0,-1.6918958370228319,1,1,2,2,0,0,False,True,False
-1.0494954817798494,1,-1.4217422196675067,9,-1.2277389666669953,2,1,1,-1.5281155599061351,0,0,0,2,0,3,False,False,True
-0.6562631307651073,0,0.5801505536347072,6,-1.2277389666669953,1,0,0,1.0103543440715883,0,1,1,2,2,2,False,False,True
0.7821394163677646,1,-1.4217422196675067,6,-1.2277389666669953,2,1,1,-0.818757367896726,0,2,0,2,1,2,True,False,False
0.8442287349490396,0,0.19883764443428553,8,-1.2277389666669953,2,1,1,1.2250280939024547,0,2,1,2,2,3,True,False,False
-0.14920036235136114,1,-0.6591164012666634,8,-1.2277389666669953,2,1,0,0.6561935746034351,0,1,0,2,2,3,False,False,True
-1.4530760525581372,1,-0.08714703746603075,4,-1.2277389666669953,1,1,0,0.3106085933377907,1,0,1,2,2,2,False,False,True
0.19229088984565162,0,0.6754787809348127,3,-1.2277389666669953,2,0,1,-1.632249929859481,0,1,1,2,0,1,True,False,False
2.0239257879932655,1,-0.08714703746603075,5,-1.2277389666669953,1,1,1,1.5193796815888185,0,4,1,2,2,2,True,False,False
